gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3925480525;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/138251462;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.463374;-83.588478;123.0;;;;;;22/04/2022;22;4;2022;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;138251462;;jstivelman;10/10/2022 13:29;CC_BY_NC_4_0;jstivelman;jstivelman;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3925334445;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/138227012;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;;SPECIES;Panthera onca (Linnaeus, 1758);Panthera onca;;CR;;Limón;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;10.544223;-83.544452;31189.0;;;;;;09/10/2022;9;10;2022;5219426;5219426;HUMAN_OBSERVATION;iNaturalist;Observations;138227012;;Nate Hartley;10/10/2022 06:25;CC_BY_NC_4_0;Nate Hartley;Nate Hartley;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3923678823;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/136801336;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;;SPECIES;Panthera onca (Linnaeus, 1758);Panthera onca;;CR;;Guanacaste;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;10.847266;-85.659663;31169.0;;;;;;28/09/2022;28;9;2022;5219426;5219426;HUMAN_OBSERVATION;iNaturalist;Observations;136801336;;Michelle Monge-Velazquez;28/9/2022 14:11;CC_BY_4_0;Michelle Monge-Velazquez;Michelle Monge-Velazquez;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3915559071;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/136454225;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;oncilla;SUBSPECIES;Leopardus tigrinus oncilla (Thomas, 1903);Leopardus tigrinus oncilla;;CR;;Guanacaste;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;10.288479;-84.755886;31199.0;;;;;;19/02/2018;19;2;2018;6164564;2434930;HUMAN_OBSERVATION;iNaturalist;Observations;136454225;;;;CC_BY_NC_4_0;Walter Bello Villalobos;Walter Bello Villalobos;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3915502418;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/107960388;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma yagouaroundi;;SPECIES;Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803);Herpailurus yagouaroundi;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.426944;-83.4433;;;;;;;23/01/2022;23;1;2022;5787224;2435146;HUMAN_OBSERVATION;iNaturalist;Observations;107960388;;Osa Conservation;5/3/2022 17:52;CC_BY_NC_4_0;Osa Conservation;Osa Conservation;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3903401374;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/133467632;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus pardalis;;SPECIES;Leopardus pardalis (Linnaeus, 1758);Leopardus pardalis;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;9.864578;-85.061775;;;;;;;28/08/2022;28;8;2022;2434982;2434982;HUMAN_OBSERVATION;iNaturalist;Observations;133467632;;Carlos Venegas-Elizondo;3/9/2022 14:42;CC_BY_NC_4_0;Carlos Venegas-Elizondo;Carlos Venegas-Elizondo;;;4/11/2022 10:03;StillImage;COORDINATE_ROUNDED
3902478068;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/132955384;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma yagouaroundi;;SPECIES;Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803);Herpailurus yagouaroundi;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;9.268616;-83.882511;;;;;;;22/03/2019;22;3;2019;5787224;2435146;HUMAN_OBSERVATION;iNaturalist;Observations;132955384;;Jean-Dominique LEBRETON;30/8/2022 15:04;CC_BY_NC_4_0;Jean-Dominique LEBRETON;Jean-Dominique LEBRETON;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3902302330;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/121796524;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.551713;-83.543663;4.0;;;;;;13/06/2022;13;6;2022;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;121796524;;Jaime Marcelo Aranda Sánchez;17/6/2022 13:40;CC_BY_NC_4_0;sethberes;sethberes;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3902146129;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/125329240;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;CR;;Heredia;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;10.294274;-84.119168;69119.0;;;;;;07/07/2022;7;7;2022;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;125329240;;Tyler Irvin;8/7/2022 21:22;CC_BY_NC_4_0;madison_haddad;madison_haddad;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3889026596;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/129202277;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus pardalis;;SPECIES;Leopardus pardalis (Linnaeus, 1758);Leopardus pardalis;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.81328;-83.179177;3902.0;;;;;;02/08/2022;2;8;2022;2434982;2434982;HUMAN_OBSERVATION;iNaturalist;Observations;129202277;;One K???;3/8/2022 03:25;CC_BY_NC_4_0;One K???;One K???;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3888988570;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/129202726;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma yagouaroundi;;SPECIES;Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803);Herpailurus yagouaroundi;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.817296;-83.175654;4061.0;;;;;;02/08/2022;2;8;2022;5787224;2435146;HUMAN_OBSERVATION;iNaturalist;Observations;129202726;;One K???;2/8/2022 22:22;CC_BY_NC_4_0;One K???;One K???;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3888762637;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/129205438;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.81664;-83.136722;9141.0;;;;;;02/08/2022;2;8;2022;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;129205438;;One K???;2/8/2022 22:49;CC_BY_NC_4_0;One K???;One K???;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3873794328;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/125349803;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma yagouaroundi;;SPECIES;Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803);Herpailurus yagouaroundi;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;9.371683;-83.969078;18.0;;;;;;08/07/2022;8;7;2022;5787224;2435146;HUMAN_OBSERVATION;iNaturalist;Observations;125349803;;Greg Gurley;8/7/2022 19:58;CC_BY_4_0;Greg Gurley;Greg Gurley;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3873793673;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/127271781;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;CR;;Guanacaste;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;10.351244;-84.792093;150.0;;;;;;21/07/2022;21;7;2022;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;127271781;;Federico A. Chinchilla Romero;21/7/2022 20:24;CC_BY_NC_4_0;Federico A. Chinchilla Romero;Federico A. Chinchilla Romero;;;4/11/2022 09:59;StillImage;COORDINATE_ROUNDED
3860270051;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/121009497;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus pardalis;;SPECIES;Leopardus pardalis (Linnaeus, 1758);Leopardus pardalis;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.68922;-83.631163;9772.0;;;;;;05/05/2022;5;5;2022;2434982;2434982;HUMAN_OBSERVATION;iNaturalist;Observations;121009497;;sebastiaanbosma;10/6/2022 03:22;CC_BY_NC_4_0;dbbright;dbbright;;;4/11/2022 10:02;;COORDINATE_ROUNDED
3859638425;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/119121242;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;concolor;SUBSPECIES;Puma concolor concolor;Puma concolor concolor;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.543367;-83.576614;7305.0;;;;;;28/02/2013;28;2;2013;7193927;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;119121242;;sonotashorty;28/5/2022 20:10;CC_BY_NC_4_0;sonotashorty;sonotashorty;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3859458920;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/120849392;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus pardalis;;SPECIES;Leopardus pardalis (Linnaeus, 1758);Leopardus pardalis;;CR;;Puntarenas;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.438659;-83.351728;15067.0;;;;;;01/04/2016;1;4;2016;2434982;2434982;HUMAN_OBSERVATION;iNaturalist;Observations;120849392;;azuquitboy;8/6/2022 18:42;CC_BY_NC_4_0;azuquitboy;azuquitboy;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
3802345626;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/118217001;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera onca;;SPECIES;Panthera onca (Linnaeus, 1758);Panthera onca;;CR;;Guanacaste;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;11.02931;-85.592733;31158.0;;;;;;22/05/2022;22;5;2022;5219426;5219426;HUMAN_OBSERVATION;iNaturalist;Observations;118217001;;Michelle Monge-Velazquez;22/5/2022 16:57;CC_BY_4_0;Michelle Monge-Velazquez;Michelle Monge-Velazquez;;;4/11/2022 10:02;StillImage;COORDINATE_ROUNDED
